,,,,,,,,,,,
PS 0234,MWF 0800-0850,MWF 1000-1050,F 1200-1300,F 1400-1520,F 1540-1700,,,,,,
PS 0239,MWF 0800-0850,MWF 1000-1050,MWF 1200-1250,MTWF 1310-1400,,,,,,,
RH 0109,,,,,,,,,,,
RH 0024,,,,,,,,,,,
RH 0247,MWF 1100-1150,MWF 1310-1400,,,,,,,,,
RH 0342,,,,,,,,,,,
RH 0408,,,,,,,,,,,
SI 2010,MWF 0800-0850,MWF 0900-0950,MWF 1000-1050,MWF 1100-1150,MWF 1200-1250,MWF 1310-1400,MWF 1410-1500,,,,
STEM 0105,MWF 0900-0950,,,,,,,,,,
STEM 0117,,,,,,,,,,,
STEM 0120,,,,,,,,,,,
STEM 0145,,,,,,,,,,,
STEM 0155,F 1000-1050,F 1100-1150,F 1200-1250,F 1310-1400,,,,,,,
STEM 0160,,,,,,,,,,,
STEM 0175,,,,,,,,,,,
STEM 0180,,,,,,,,,,,
STEM 0185,,,,,,,,,,,
STEM 0195,MWF 0900-1040,MWF 1310-1500,,,,,,,,,
STEM 0205,MWF 1100-1150,,,,,,,,,,
STEM 0215,MWF 1100-1150,MWF 1200-1250,,,,,,,,,
STEM 0220,MWF 0900-0950,MWF 1200-1250,,,,,,,,,
STEM 0225,MWF 1310-1400,MWF 1510-1600,,,,,,,,,
STEM 0235,,,,,,,,,,,
STEM 0245,,,,,,,,,,,
STEM 0255,,,,,,,,,,,
STEM 0265,,,,,,,,,,,
STEM 0275,,,,,,,,,,,
STEM 0280,MWF 1000-1050,MWF 1200-1250,MWF 1310-1400,,,,,,,,
STEM 0285,,,,,,,,,,,
STEM 0295,,,,,,,,,,,
STEM 0315,MWF 1200-1250,MWF 1410-1500,,,,,,,,,
STEM 0320,,,,,,,,,,,
STEM 0325,,,,,,,,,,,
STEM 0335,,,,,,,,,,,
STEM 0345,,,,,,,,,,,
STEM 0360,,,,,,,,,,,
STEM 0375,,,,,,,,,,,
STEM 0380,,,,,,,,,,,
STEM 0385,,,,,,,,,,,
STEM 0395,,,,,,,,,,,
VA 0109,,,,,,,,,,,
VA 0111,,,,,,,,,,,
VA 0119,,,,,,,,,,,
VA 0229,F 1000-1150,F 1230-1430,,,,,,,,,
